1,Cardiologia,01/01/2021,5
2,Pediatria,01/01/2021,3
3,Ginecologia,01/01/2021,25
4,Traumatologia,01/01/2021,22
5,Psicologia,01/01/2021,17
6,Dermatologia,01/01/2021,20
7,Fonoaudiologia,01/01/2021,17
8,Gastroenterologia,01/01/2021,18
9,Medicina General,01/01/2021,7
10,Neurologia,01/01/2021,11
11,Nefrologia,01/01/2021,22
12,Neumologia,01/01/2021,3
13,Odontologia,01/01/2021,4
14,Oftalmologia,01/01/2021,18
15,Otorrinolaringologia,01/01/2021,28
1,Cardiologia,02/01/2021,27
2,Pediatria,02/01/2021,18
3,Ginecologia,02/01/2021,22
4,Traumatologia,02/01/2021,3
5,Psicologia,02/01/2021,19
6,Dermatologia,02/01/2021,27
7,Fonoaudiologia,02/01/2021,5
8,Gastroenterologia,02/01/2021,25
9,Medicina General,02/01/2021,7
10,Neurologia,02/01/2021,1
11,Nefrologia,02/01/2021,23
12,Neumologia,02/01/2021,14
13,Odontologia,02/01/2021,24
14,Oftalmologia,02/01/2021,29
15,Otorrinolaringologia,02/01/2021,8
1,Cardiologia,03/01/2021,17
2,Pediatria,03/01/2021,0
3,Ginecologia,03/01/2021,9
4,Traumatologia,03/01/2021,16
5,Psicologia,03/01/2021,23
6,Dermatologia,03/01/2021,8
7,Fonoaudiologia,03/01/2021,18
8,Gastroenterologia,03/01/2021,6
9,Medicina General,03/01/2021,13
10,Neurologia,03/01/2021,21
11,Nefrologia,03/01/2021,12
12,Neumologia,03/01/2021,17
13,Odontologia,03/01/2021,27
14,Oftalmologia,03/01/2021,9
15,Otorrinolaringologia,03/01/2021,19
1,Cardiologia,04/01/2021,17
2,Pediatria,04/01/2021,7
3,Ginecologia,04/01/2021,18
4,Traumatologia,04/01/2021,19
5,Psicologia,04/01/2021,28
6,Dermatologia,04/01/2021,1
7,Fonoaudiologia,04/01/2021,22
8,Gastroenterologia,04/01/2021,11
9,Medicina General,04/01/2021,7
10,Neurologia,04/01/2021,6
11,Nefrologia,04/01/2021,2
12,Neumologia,04/01/2021,22
13,Odontologia,04/01/2021,16
14,Oftalmologia,04/01/2021,1
15,Otorrinolaringologia,04/01/2021,26
1,Cardiologia,05/01/2021,30
2,Pediatria,05/01/2021,5
3,Ginecologia,05/01/2021,22
4,Traumatologia,05/01/2021,8
5,Psicologia,05/01/2021,18
6,Dermatologia,05/01/2021,13
7,Fonoaudiologia,05/01/2021,8
8,Gastroenterologia,05/01/2021,3
9,Medicina General,05/01/2021,18
10,Neurologia,05/01/2021,15
11,Nefrologia,05/01/2021,4
12,Neumologia,05/01/2021,26
13,Odontologia,05/01/2021,23
14,Oftalmologia,05/01/2021,17
15,Otorrinolaringologia,05/01/2021,22
1,Cardiologia,06/01/2021,8
2,Pediatria,06/01/2021,3
3,Ginecologia,06/01/2021,5
4,Traumatologia,06/01/2021,27
5,Psicologia,06/01/2021,0
6,Dermatologia,06/01/2021,30
7,Fonoaudiologia,06/01/2021,8
8,Gastroenterologia,06/01/2021,26
9,Medicina General,06/01/2021,23
10,Neurologia,06/01/2021,11
11,Nefrologia,06/01/2021,26
12,Neumologia,06/01/2021,27
13,Odontologia,06/01/2021,13
14,Oftalmologia,06/01/2021,14
15,Otorrinolaringologia,06/01/2021,16
1,Cardiologia,07/01/2021,7
2,Pediatria,07/01/2021,16
3,Ginecologia,07/01/2021,3
4,Traumatologia,07/01/2021,28
5,Psicologia,07/01/2021,29
6,Dermatologia,07/01/2021,30
7,Fonoaudiologia,07/01/2021,12
8,Gastroenterologia,07/01/2021,15
9,Medicina General,07/01/2021,10
10,Neurologia,07/01/2021,7
11,Nefrologia,07/01/2021,0
12,Neumologia,07/01/2021,21
13,Odontologia,07/01/2021,5
14,Oftalmologia,07/01/2021,9
15,Otorrinolaringologia,07/01/2021,1
1,Cardiologia,08/01/2021,22
2,Pediatria,08/01/2021,29
3,Ginecologia,08/01/2021,2
4,Traumatologia,08/01/2021,16
5,Psicologia,08/01/2021,13
6,Dermatologia,08/01/2021,29
7,Fonoaudiologia,08/01/2021,14
8,Gastroenterologia,08/01/2021,25
9,Medicina General,08/01/2021,3
10,Neurologia,08/01/2021,9
11,Nefrologia,08/01/2021,15
