title,genres,averageRating,numVotes,releaseYear
The Shawshank Redemption,Drama,"9,3",3043442,1994
The Godfather,"Crime, Drama","9,2",2124561,1972
The Chaos Class,Comedy,"9,2",44477,1975
Attack on Titan the Movie: The Last Attack,"Action, Adventure, Animation","9,2",16393,2024
Ramayana: The Legend of Prince Rama,"Action, Adventure, Animation","9,1",16423,1993
The Dark Knight,"Action, Crime, Drama",9,3020448,2008
The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",9,2077352,2003
Schindler's List,"Biography, Drama, History",9,1522096,1993
The Godfather Part II,"Crime, Drama",9,1429029,1974
12 Angry Men,"Crime, Drama",9,924885,1957
The Silence of Swastika,"Documentary, History",9,10621,2021
Pulp Fiction,"Crime, Drama","8,9",2334131,1994
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy","8,9",2107297,2001
Mirror Game,"Crime, Mystery, Thriller","8,9",30474,2016
Tosun Pasha,"Comedy, History","8,9",25541,1976
O.J.: Made in America,"Biography, Crime, Documentary","8,9",23129,2016
The Message,"Biography, Drama, History","8,9",11414,1976
Inception,"Action, Adventure, Sci-Fi","8,8",2682755,2010
Fight Club,"Crime, Drama, Thriller","8,8",2464434,1999
Forrest Gump,"Drama, Romance","8,8",2378710,1994
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy","8,8",1873125,2002
"The Good, the Bad and the Ugly","Adventure, Western","8,8",852828,1966
The Foster Brothers,"Comedy, History","8,8",21804,1976
The Marathon Family,"Comedy, Drama","8,8",17638,1982
#Home,"Drama, Family","8,8",16739,2021
Balkan Spy,"Comedy, Drama","8,8",12996,1984
Solo Leveling: ReAwakening,"Action, Adventure, Animation","8,8",12891,2024
The Phantom of the Opera at the Royal Albert Hall,"Drama, Musical, Romance","8,8",10416,2011
Interstellar,"Adventure, Drama, Sci-Fi","8,7",2344647,2014
The Matrix,"Action, Sci-Fi","8,7",2155355,1999
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy","8,7",1441190,1980
Goodfellas,"Biography, Crime, Drama","8,7",1325555,1990
One Flew Over the Cuckoo's Nest,Drama,"8,7",1116255,1975
12th Fail,"Biography, Drama","8,7",147639,2023
777 Charlie,"Adventure, Comedy, Drama","8,7",43189,2022
The Chaos Class Failed the Class,Comedy,"8,7",26433,1975
Stop Making Sense,"Documentary, Music","8,7",22674,1984
The Chaos Class Is Waking Up,Comedy,"8,7",21616,1976
Pariyerum Perumal,Drama,"8,7",19517,2018
"Saban, Son of Saban","Comedy, History","8,7",19367,1977
Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller","8,7",18748,2006
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Action, Animation, Fantasy","8,7",17372,2020
Who's Singin' Over There?,"Adventure, Comedy, Drama","8,7",17317,1980
Resurrection,"Drama, Family","8,7",17122,2018
Manichithrathazhu,"Comedy, Horror, Mystery","8,7",13542,1993
Happy Days,"Comedy, Drama","8,7",12430,1978
Shoah,"Documentary, History, War","8,7",11113,1985
Se7en,"Crime, Drama, Mystery","8,6",1910945,1995
The Silence of the Lambs,"Crime, Drama, Horror","8,6",1635064,1991
Saving Private Ryan,"Drama, War","8,6",1569683,1998
Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy","8,6",1508416,1977
The Green Mile,"Crime, Drama, Fantasy","8,6",1485286,1999
Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi","8,6",1232435,1991
Spirited Away,"Adventure, Animation, Family","8,6",910125,2001
City of God,"Crime, Drama","8,6",837254,2002
Life Is Beautiful,"Comedy, Drama, Romance","8,6",778116,1997
It's a Wonderful Life,"Drama, Family, Fantasy","8,6",527579,1946
Seven Samurai,"Action, Drama","8,6",383894,1954
Jai Bhim,"Crime, Drama","8,6",225696,2021
