title,genres,averageRating,numVotes,releaseYear
Breaking Bad,"Crime, Drama, Thriller","9,5",2330467,2008
Band of Brothers,"Action, Drama, History","9,4",561747,2001
Planet Earth,"Documentary, Family","9,4",227362,2006
Planet Earth II,Documentary,"9,4",166469,2016
Tree of Life,Drama,"9,4",18437,2014
Chernobyl,"Drama, History, Thriller","9,3",949325,2019
Avatar: The Last Airbender,"Action, Adventure, Animation","9,3",406025,2005
The Wire,"Crime, Drama, Thriller","9,3",403109,2002
Sapne Vs Everyone,Drama,"9,3",73529,2023
Blue Planet II,Documentary,"9,3",51768,2017
Cosmos,Documentary,"9,3",47881,1980
Bluey,"Animation, Family","9,3",38445,2018
BB Ki Vines,Comedy,"9,3",11591,2015
Game of Thrones,"Action, Adventure, Drama","9,2",2433201,2011
The Sopranos,"Crime, Drama","9,2",524414,1999
Aspirants,Drama,"9,2",315598,2021
Scam 1992: The Harshad Mehta Story,"Biography, Crime, Drama","9,2",164745,2020
Scam 1992,Thriller,"9,2",161646,2020
Cosmos: A Spacetime Odyssey,Documentary,"9,2",134100,2014
Our Planet,Documentary,"9,2",56741,2019
The Chosen,"Drama, History","9,2",51960,2017
The World at War,"Documentary, History, War","9,2",33025,1973
Çilgin Dersane at the University,Comedy,"9,2",18462,2014
When Life Gives You Tangerines,"Drama, History, Romance","9,2",17514,2025
Rick and Morty,"Adventure, Animation, Comedy","9,1",649624,2013
Attack on Titan,"Action, Adventure, Animation","9,1",609788,2013
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Animation","9,1",221074,2009
Sandeep Bhaiya,Drama,"9,1",76380,2023
TVF Pitchers,"Comedy, Drama","9,1",75521,2015
The Chosen,"Drama, History","9,1",58055,2017
Life,Documentary,"9,1",45701,2009
The Filthy Frank Show,"Comedy, Short","9,1",33765,2011
The Vietnam War,"Documentary, History, War","9,1",31402,2017
Gullak,"Comedy, Drama, Family","9,1",26377,2019
Halka,"Action, Crime, Drama","9,1",25557,2019
Koombiyo,"Crime, Drama, Thriller","9,1",18341,2017
The Legend of Hanuman,"Action, Adventure, Animation","9,1",13414,2021
Sherlock,"Crime, Drama, Mystery",9,1048119,2010
The Office,Comedy,9,775080,2005
Better Call Saul,"Crime, Drama",9,731190,2015
Arcane,"Action, Adventure, Animation",9,394932,2021
One Piece,"Action, Adventure, Animation",9,297026,1999
The Last Dance,"Biography, Documentary, History",9,166512,2020
Hunter x Hunter,"Action, Adventure, Animation",9,163742,2011
Batman: The Animated Series,"Action, Adventure, Animation",9,127021,1992
Panchayat,"Comedy, Drama",9,102845,2020
The Twilight Zone,"Drama, Fantasy, Horror",9,100547,1959
Leyla and Mecnun,"Adventure, Comedy, Drama",9,99720,2011
Kota Factory,"Comedy, Drama",9,87860,2019
Clarkson's Farm,"Comedy, Documentary, Reality-TV",9,71790,2021
Bleach: Thousand-Year Blood War,"Action, Adventure, Animation",9,61019,2022
Only Fools and Horses,Comedy,9,60703,1981
Persona,"Crime, Drama, Mystery",9,51670,2018
The Blue Planet,Documentary,9,45697,2001
NCR Days,Drama,9,44417,2022
Frozen Planet,Documentary,9,35620,2011
Human Planet,Documentary,9,29892,2011
As If,Comedy,9,29231,2021
Ramayan,"Adventure, Drama, Family",9,25950,1987
Taskmaster,"Comedy, Game-Show",9,24595,2015
The Civil War,"Documentary, History, War",9,21316,1990
Apocalypse: The Second World War,"Documentary, History, War",9,16553,2009
Reply 1988,"Comedy, Drama, Family",9,15780,2015
Critical Role,"Adventure, Fantasy",9,14400,2015
Mahabharat,"Drama, History, War",9,12909,2013
My Mister,"Drama, Family",9,12735,2018
Friends,"Comedy, Romance","8,9",1144174,1994
True Detective,"Crime, Drama, Mystery","8,9",702699,2014
Death Note,"Animation, Crime, Drama","8,9",425013,2006
Seinfeld,Comedy,"8,9",368753,1989
Firefly,"Adventure, Drama, Sci-Fi","8,9",290750,2002
Gravity Falls,"Adventure, Animation, Comedy","8,9",156755,2012
Cowboy Bebop,"Action, Adventure, Animation","8,9",153885,1998
The West Wing,Drama,"8,9",91845,1999
The Pitt,Drama,"8,9",45459,2025
Nathan for You,"Comedy, Documentary","8,9",43560,2013
Frieren: Beyond Journey's End,"Adventure, Animation, Comedy","8,9",41533,2023
The Beatles: Get Back,"Biography, Documentary, Music","8,9",32161,2021
Dekalog,Drama,"8,9",30718,1989
Undercover,"Action, Crime, Drama","8,9",28090,2011
Yeh Meri Family,"Comedy, Drama, Family","8,9",27103,2018
Mahabharat,"Action, Adventure, Drama","8,9",25394,1988
Azize,Drama,"8,9",20762,2019
Black Pearl,Drama,"8,9",19967,2017
Sarabhai V/S Sarabhai,Comedy,"8,9",19280,2004
Africa,Documentary,"8,9",19174,2013
Tash Ma Tash,"Comedy, Drama, Fantasy","8,9",10962,1993
Harga,Drama,"8,9",10038,2021
Fargo,"Crime, Drama, Thriller","8,8",444698,2014
Ted Lasso,"Comedy, Drama, Sport","8,8",400451,2020
Succession,"Comedy, Drama","8,8",317009,2018
It's Always Sunny in Philadelphia,Comedy,"8,8",265929,2005
BoJack Horseman,"Animation, Comedy, Drama","8,8",210155,2014
Dragon Ball Z,"Action, Adventure, Animation","8,8",162352,1996
Freaks and Geeks,"Comedy, Drama","8,8",159808,1999
Curb Your Enthusiasm,Comedy,"8,8",157157,2000
When They See Us,"Biography, Crime, Drama","8,8",148044,2019
Dhindora,"Comedy, Drama","8,8",123814,2021
Fawlty Towers,Comedy,"8,8",105073,1975
Vinland Saga,"Action, Adventure, Animation","8,8",100360,2019
Last Week Tonight with John Oliver,"Comedy, News, Talk-Show","8,8",99936,2014
Pride and Prejudice,"Drama, Romance","8,8",98162,1995
Dragon Ball Z,"Action, Adventure, Animation","8,8",96256,1989
Steins;Gate,"Animation, Comedy, Drama","8,8",82768,2011
Monty Python's Flying Circus,Comedy,"8,8",82471,1969
Chappelle's Show,"Comedy, Music","8,8",76085,2003
Blackadder Goes Forth,"Comedy, War","8,8",60463,1989
Das Boot,"Drama, War","8,8",36089,1985
Behzat Ç: An Ankara Detective Story,"Crime, Drama, Mystery","8,8",34873,2010
Flames,"Comedy, Drama, Romance","8,8",33403,2018
Another Love,"Drama, Romance","8,8",23334,2023
"I, Claudius","Biography, Drama, History","8,8",20943,1976
Rocket Boys,"Drama, History","8,8",19380,2022
Fighting Spirit,"Action, Animation, Comedy","8,8",13865,2000
Black Sun,"Crime, Drama, Thriller","8,8",13311,2017
Not Me,"Action, Crime, Romance","8,8",12630,2021
Peaky Blinders,"Crime, Drama","8,7",711298,2013
Black Mirror,"Crime, Drama, Mystery","8,7",692896,2011
House,"Drama, Mystery","8,7",558260,2004
Narcos,"Biography, Crime, Drama","8,7",500986,2015
Dark,"Crime, Drama, Mystery","8,7",491381,2017
South Park,"Animation, Comedy","8,7",422632,1997
Severance,"Drama, Mystery, Sci-Fi","8,7",316165,2022
