Pelicula,Año de estreno,Ganancia
Jurassic World,2015,1254445953.7
Mad Max: Fury Road,2015,210161353.2
Interstellar,2014,170419069.89999998
Guardians of the Galaxy,2014,1718723211.0
Insurgent,2015,1210948877.9
Captain America: The Winter Soldier,2014,366114301.6
Star Wars,1977,262755138.39999998
John Wick,2014,448389698.02
Star Wars: The Force Awakens,2015,996112046.96
The Hunger Games: Mockingjay - Part 1,2014,624411645.5
The Hobbit: The Battle of the Five Armies,2014,584820383.0
Avatar,2009,7348699.199999988
Inception,2010,20119852.03
Furious 7,2015,143186060.72
The Revenant,2015,1035032450.3
Fight Club,1999,102819262.41
Big Hero 6,2014,255549597.63
Terminator Genisys,2015,357513832.6
The Lord of the Rings: The Fellowship of the Ring,2001,411563063.65999997
The Dark Knight,2008,451281354.3
Underworld: Endless War,2011,17512806.800000012
The Imitation Game,2014,56773015.86
The Lord of the Rings: The Two Towers,2002,331651419.5
Pulp Fiction,1994,487279135.19
Harry Potter and the Philosopher's Stone,2001,96918742.83
Captain America: The First Avenger,2011,489743512.40000004
The Matrix,1999,136034457.63
The Martian,2015,296977834.49
The Avengers,2012,62878727.50000001
Minions,2015,230236270.58999997
The Maze Runner,2014,48823705.08
The Lord of the Rings: The Return of the King,2003,237825593.84
Underworld: Awakening,2012,112801585.49000001
Birdman,2014,84797112.47999999
Underworld,2003,27049605.459
Forrest Gump,1994,144371991.7
Eddie Izzard: Glorious,1997,19836703.75
The Dark Knight Rises,2012,46990029.04000001
Gone Girl,2014,159744121.43
Fury,2014,46364897.63000001
Inside Out,2015,4086521.3599999994
Night at the Museum: Secret of the Tomb,2014,30493486.86
Spectre,2015,16219386.779999997
Jupiter Ascending,2015,3987085.0480000004
Kill Bill: Vol. 1,2003,215161231.70000002
Divergent,2014,67631286.24
Frozen,2013,4659348.07
Inglourious Basterds,2009,26194352.68
Back to the Future,1985,146799433.67000002
X-Men: Days of Future Past,2014,136553317.16
Harry Potter and the Chamber of Secrets,2002,37843317.63
Pixels,2015,26421202.5
Lucy,2014,15278196.840000004
Avengers: Age of Ultron,2015,4161366.079999998
Django Unchained,2012,-27214912.82
Harry Potter and the Goblet of Fire,2005,45256181.25
Drive,2011,-48067274.05
The Hateful Eight,2015,49703728.849999994
Underworld: Evolution,2006,44139368.000000015
Harry Potter and the Prisoner of Azkaban,2004,33970014.457
Underworld: Rise of the Lycans,2009,157012852.41
Teenage Mutant Ninja Turtles,2014,95553883.88
Taken 3,2015,43559824.36
The Godfather,1972,-5684900.140000001
Iron Man 2,2010,94700679.97
Sex Tape,2014,97332086.77
WALLÂ·E,2008,18260322.159999996
Skyfall,2012,16535147.2
Alice in Wonderland,2010,-19882736.900000006
The Empire Strikes Back,1980,135454404.38
The Hunger Games: Mockingjay - Part 2,2015,12533680.730000004
Tomorrowland,2015,25204305.23
Batman Begins,2005,2496918.461
Southpaw,2015,26692206.77
Black Swan,2010,355288704.18
Gravity,2013,6439997.160000002
Thor: The Dark World,2013,24087376.04
Harry Potter and the Half-Blood Prince,2009,-8405746.504
Transformers: Age of Extinction,2014,67513423.25999999
Iron Man,2008,55602930.019999996
Pirates of the Caribbean: At World's End,2007,-3507855.4167
Iron Man 3,2013,-42941597.506
Now You See Me,2013,49660338.914000005
Alien,1979,175131483.54000002
Up,2009,30885536.409999996
Harry Potter and the Order of the Phoenix,2007,5897197.409999998
The Wolf of Wall Street,2013,32226329.100999996
Harry Potter and the Deathly Hallows: Part 1,2010,39451439.198
The Terminator,1984,71389431.22
Whiplash,2014,42470036.069000006
Fifty Shades of Grey,2015,17722323.880000003
Pacific Rim,2013,52255866.61
The Big Short,2015,-128095.23000000045
The Bourne Legacy,2012,85974019.214
Reservoir Dogs,1992,43033604.82000001
Raiders of the Lost Ark,1981,-8141871.2973
Mission: Impossible - Rogue Nation,2015,42824791.6
Ted 2,2015,-18208091.0244
Kill Bill: Vol. 2,2004,45465342.234
Rise of the Planet of the Apes,2011,15903831.5234
Kingsman: The Secret Service,2015,191438.1099999994
Independence Day,1996,46570170.67
Dawn of the Planet of the Apes,2014,69010138.39
Mulholland Drive,2001,18628373.53
Titanic,1997,43819277.120000005
The Hobbit: The Desolation of Smaug,2013,18105428.270000003
Gladiator,2000,99003968.89
The Hobbit: An Unexpected Journey,2012,62651561.19800001
The Matrix Revolutions,2003,-6223189.143999999
Pirates of the Caribbean: Dead Man's Chest,2006,11674543.7
The Equalizer,2014,218586413.26
Thor,2011,22049864.9
The Matrix Reloaded,2003,-26988419.047000002
Prometheus,2012,56931497.7548
Bridget Jones: The Edge of Reason,2004,15345778.170000002
