original_title,cast,director,runtime,genres,production_companies,release_year,budget,revenue
Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,2015,1379999393,1392445893
Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,120,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,2015,1379999393,3481612925
Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,Christopher Nolan,169,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,2014,1519800234,5726906451
Guardians of the Galaxy,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper,James Gunn,121,Action|Science Fiction|Adventure,Marvel Studios|Moving Picture Company (MPC)|Bulletproof Cupid|Revolution Sun Studios,2014,1565854786,7122911302
Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,119,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2015,1011999555,2716190254
Captain America: The Winter Soldier,Chris Evans|Scarlett Johansson|Sebastian Stan|Samuel L. Jackson|Robert Redford,Joe Russo|Anthony Russo,136,Action|Adventure|Science Fiction,Marvel Studios,2014,1565854786,6583650929
Star Wars,Mark Hamill|Harrison Ford|Carrie Fisher|Peter Cushing|Alec Guinness,George Lucas,121,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,1977,3957559136,2789712242
John Wick,Keanu Reeves|Michael Nyqvist|Alfie Allen|Willem Dafoe|Dean Winters,Chad Stahelski|David Leitch,101,Action|Thriller,Thunder Road Pictures|Warner Bros.|87Eleven|DefyNite Films|MJW Films,2014,1842182102,7252661447
Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,2015,183999919,1902723130
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Donald Sutherland,Francis Lawrence,123,Science Fiction|Adventure|Thriller,Lionsgate|Color Force,2014,1151363813,6927527902
The Hobbit: The Battle of the Five Armies,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish,Peter Jackson,144,Adventure|Fantasy,WingNut Films|New Line Cinema|3Foot7|Metro-Goldwyn-Mayer (MGM),2014,2302727627,8797522891
Avatar,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,James Cameron,162,Action|Adventure|Fantasy|Science Fiction,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,2009,2408869029,2827123750
Inception,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,Christopher Nolan,148,Action|Thriller|Science Fiction|Mystery|Adventure,Legendary Pictures|Warner Bros.|Syncopy,2010,160000000,825500000
Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,137,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2015,1747999231,1385748801
The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,2015,1241999454,490314247
Fight Club,Edward Norton|Brad Pitt|Meat Loaf|Jared Leto|Helena Bonham Carter,David Fincher,139,Drama,Regency Enterprises|Fox 2000 Pictures|Taurus Film|Linson Films|Atman Entertainment,1999,8247032934,1320228925
Big Hero 6,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung,Don Hall|Chris Williams,102,Adventure|Family|Animation|Action|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,2014,1519800234,6006484877
Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,2015,1425999373,4053550757
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood|Ian McKellen|Viggo Mortensen|Liv Tyler|Orlando Bloom,Peter Jackson,178,Adventure|Fantasy|Action,WingNut Films|New Line Cinema|The Saul Zaentz Company,2001,1145283949,1073079786
The Dark Knight,Christian Bale|Michael Caine|Heath Ledger|Aaron Eckhart|Gary Oldman,Christopher Nolan,152,Drama|Action|Crime|Thriller,DC Comics|Legendary Pictures|Warner Bros.|Syncopy,2008,1873655273,1014733032
Underworld: Endless War,Trevor Devall|Brian Dobson|Paul Dobson|Laura Harris|Mark Oliver,Juno John Lee,18,Action|Animation|Horror,,2011,0,0
The Imitation Game,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech,Morten Tyldum,113,History|Drama|Thriller|War,Black Bear Pictures|Bristol Automotive,2014,1289527471,2151260725
The Lord of the Rings: The Two Towers,Elijah Wood|Ian McKellen|Viggo Mortensen|Liv Tyler|Orlando Bloom,Peter Jackson,179,Adventure|Fantasy|Action,WingNut Films|New Line Cinema|The Saul Zaentz Company,2002,957686501,1122902454
Pulp Fiction,John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Ving Rhames,Quentin Tarantino,154,Thriller|Crime,Miramax Films|A Band Apart|Jersey Films,1994,1176889249,3147130751
Harry Potter and the Philosopher's Stone,Daniel Radcliffe|Rupert Grint|Emma Watson|John Cleese|Robbie Coltrane,Chris Columbus,152,Adventure|Fantasy|Family,1492 Pictures|Warner Bros.|Heyday Films,2001,1539360146,1202518036
Captain America: The First Avenger,Chris Evans|Hugo Weaving|Tommy Lee Jones|Hayley Atwell|Sebastian Stan,Joe Johnston,124,Action|Adventure|Science Fiction,Marvel Studios,2011,135715726,3592296136
The Matrix,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster,Lilly Wachowski|Lana Wachowski,136,Action|Science Fiction,Village Roadshow Pictures|Groucho II Film Partnership|Silver Pictures|Warner Bros.,1999,8247032934,6067687497
The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,141,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,2015,9935995628,5477496543
